type,rise_start,peaks_time,decay_end,peak_values,bg_for_this_peak
1.9B,85021401.7741647,85021642.22925997,85021790.10556057,4.631937264916667,2.6938925475833333
2.5B,85022010.56179133,85024582.22925997,85024725.00306739,5.159228124416667,2.6938925475833333
2.4B,85014447.729462,85026142.22925997,85026354.19649024,5.073751668750002,2.6938925475833333
2.4B,85019331.94830006,85029322.22925997,85029466.03683393,5.044066645416668,2.6938925475833333
2.3B,85027163.96432695,85032262.22925997,85032406.75905558,4.995751714000001,2.6938925475833333
2.6B,85032283.84678005,85037602.22925997,85037742.85845485,5.302706639999999,2.6938925475833333
2.2B,85046847.42047128,85050455.22925997,85050601.59422816,4.880822971083334,2.6938925475833333
2.1B,85049050.77805236,85054655.22925997,85054803.06896082,4.757304635750001,2.6938925475833333
3.7B,85054055.64155172,85056035.22925997,85056165.70921306,6.3606293227499995,2.6938925475833333
2.0B,85055994.9329084,85058675.22925997,85058823.72493125,4.7221854455,2.6938925475833333
2.7B,85057400.58143468,85060835.22925997,85060974.20209439,5.431969268000001,2.6938925475833333
3.1B,85060840.0603172,85063595.22925997,85063729.83091983,5.843342305583334,2.6938925475833333
3.7B,85062802.60537957,85064735.22925997,85064864.65653272,6.402247201083333,2.6938925475833333
2.6B,85081970.85738437,85067075.22925997,85067216.16760348,5.269655128666667,2.6938925475833333
2.4B,85072577.52412347,85069175.22925997,85069318.8598502,5.06509260675,2.6938925475833333
2.4B,85066405.2481487,85071395.22925997,85071653.39167826,5.055180115000001,2.6938925475833333
2.7B,85070665.44541201,85072655.22925997,85072883.15260786,5.353085371250001,2.6938925475833333
3.1B,85075703.2378158,85078295.22925997,85078431.508266,5.760078926416667,2.6938925475833333
2.6B,85076322.07606123,85080755.22925997,85080896.1204067,5.296447506833333,2.6938925475833333
2.5B,85080056.42744614,85082915.22925997,85083011.940634,5.209098864416666,2.6938925475833333